country,country_code,unemployment,inflation,gdp_growth,life_expectancy,population_growth,unemployment_lag1,inflation_lag1,gdp_growth_lag1,life_expectancy_lag1,population_growth_lag1,unemployment_lag2,inflation_lag2,gdp_growth_lag2,life_expectancy_lag2,population_growth_lag2,unemployment_change_1y,inflation_change_1y,gdp_growth_change_1y,life_expectancy_change_1y,population_growth_change_1y,unemployment_trend_3y,inflation_trend_3y,gdp_growth_trend_3y,life_expectancy_trend_3y,population_growth_trend_3y
Afghanistan,AFG,14.008,-4.64470870797774,2.26694373649188,66.035,2.13559384981397,14.1,13.7121023720064,-6.24017199240269,65.617,1.43570437048699,12.006,5.13320340824962,-20.7388393676343,60.417,2.35609779179185,-0.09200000000000053,-18.35681107998414,8.50711572889457,0.41799999999999216,0.6998894793269799,1.0010000000000008,-4.888956058113676,11.502891552063089,2.808999999999999,-0.11025197098894028
Angola,AGO,14.051,13.6441017767714,1.26330814020108,64.617,3.08065530722915,14.124,21.3552901320822,4.21600258475137,64.246,3.14302612044601,15.799,25.754294884189,2.10275251923413,62.958,3.18132259995095,-0.0730000000000004,-7.711188355310799,-2.9526944445502896,0.3710000000000093,-0.06237081321686011,-0.8739999999999991,-6.055096553708799,-0.41972218951652485,0.8295000000000027,-0.05033364636090004
Albania,ALB,10.669,4.75834555150038,4.01541716935742,79.602,-1.54310811387613,10.785,6.72520271530059,4.8268006234359,78.769,-1.54315667695786,11.474,2.04147163139544,8.96957619074095,76.844,-1.54312080996395,-0.11599999999999966,-1.96685716380021,-0.8113834540784799,0.8329999999999984,4.85630817299576e-05,-0.4025000000000004,1.35843696005247,-2.4770795106917656,1.3790000000000169,6.3480439099495925e-06
United Arab Emirates,ARE,2.151,1.62670837213248,4.30118228020602,82.909,3.97717097504667,2.872,5.29122604376849,7.51448425801082,80.487,5.08834153373914,3.105,0.179935336174431,4.55278571242283,79.083,1.83513009029147,-0.7210000000000001,-3.66451767163601,-3.2133019778048,2.4220000000000113,-1.1111705586924696,-0.47700000000000015,0.7233865179790253,-0.1258017161084051,1.9129999999999896,1.0710204423776004
Armenia,ARM,12.405,1.98041877615553,8.29999999959539,77.4658536585366,-0.165163937436499,13.451,8.64091108973854,12.5999999997766,74.7658536585366,0.2326562627468,15.469,7.1848362944337,5.80000000065645,72.2780487804878,0.0270096898904032,-1.0460000000000012,-6.660492313583009,-4.30000000018121,2.700000000000003,-0.397820200183299,-1.5319999999999998,-2.602208759139083,1.2499999994694708,2.593902439024404,-0.09608681366345102
Australia,AUS,3.668,5.59701792296707,3.58382100798981,83.0512195121951,2.43450716351535,3.728,6.59409658717841,4.25304559238732,83.2,1.28931130985537,5.022,2.86391284709318,2.00694844335034,83.3,0.14089508329287,-0.06000000000000005,-0.9970786642113403,-0.6692245843975098,-0.14878048780489905,1.1451958536599802,-0.6770000000000008,1.366552537936945,0.7884362823197354,-0.12439024390244956,1.1468060401112399
Austria,AUT,5.264,7.81413417002831,-0.786244288594673,81.7926829268293,0.989464653969154,4.992,8.54686993188457,5.33096379400371,81.2951219512195,0.956287797076634,6.459,2.7666666666667,4.92309171717903,81.190243902439,0.435671684056384,0.27200000000000024,-0.7327357618562607,-6.117208082598383,0.49756097560980095,0.033176856892519924,-0.5975000000000001,2.5237337516808056,-2.8546680028868514,0.30121951219515125,0.2768964849563849
Azerbaijan,AZE,5.64,8.7854304984908,1.35447749115767,74.429,0.120242150339289,5.65,13.8522590144267,4.71468033247649,74.125,0.039507866238038,6.04,6.65029912708778,5.61644027150554,70.999,0.441197735816311,-0.010000000000000675,-5.0668285159358994,-3.36020284131882,0.30400000000000205,0.080734284101251,-0.2000000000000002,1.0675656857015103,-2.1309813901739347,1.7150000000000005,-0.16047779273851107
Burundi,BDI,0.911,26.9414835762453,3.254768974261,63.651,2.72764441044431,0.909,18.8008786664944,2.31770122223331,62.882,2.70585008916716,1.118,8.4045384507634,3.23707479823578,62.101,2.72425539520386,0.0020000000000000018,8.140604909750902,0.9370677520276902,0.7690000000000055,0.021794321277149642,-0.10349999999999995,9.26847256274095,0.008847088012610155,0.7749999999999991,0.001694507620224676
Belgium,BEL,5.547,4.04901077613941,1.71412195515242,82.4,0.850263748167955,5.57,9.597511728725,3.9562379757933,81.7487804878049,0.808165350001861,6.248,2.44024851144084,6.25445686466593,81.790243902439,0.411601996532257,-0.023000000000000576,-5.54850095258559,-2.2421160206408803,0.6512195121951123,0.042098398166094064,-0.3505000000000008,0.8043811323492855,-2.2701674547567556,0.3048780487805116,0.21933087581784902
Benin,BEN,1.641,2.73870078406074,6.3527773854442,60.774,2.52274772277722,1.685,1.35077863583527,6.25294705373625,60.475,2.54740926342667,1.833,1.73353962694035,7.1554516457574,59.61,2.59230167510348,-0.04400000000000004,1.38792214822547,0.09983033170794986,0.2989999999999995,-0.024661540649449698,-0.09600000000000027,0.5025805785601948,-0.4013371301566001,0.5820000000000023,-0.03477697616313028
