fold,accuracy,precision,recall,roc_auc,confusion_matrix
1,0.8939393939393939,0.5,0.08571428571428572,0.7559322033898305,"[[292, 3], [32, 3]]"
2,0.9121212121212121,0.4117647058823529,0.2692307692307692,0.8178137651821863,"[[294, 10], [19, 7]]"
3,0.5757575757575758,0.9,0.11538461538461539,0.6080533451223107,"[[172, 2], [138, 18]]"
4,0.5848484848484848,0.11594202898550725,0.5161290322580645,0.5703959434674721,"[[177, 122], [15, 16]]"
5,0.8848484848484849,0.4117647058823529,0.2,0.7221307506053269,"[[285, 10], [28, 7]]"
