country_code,unemployment,inflation,gdp_growth,life_expectancy,population_growth,unemployment_lag1,inflation_lag1,gdp_growth_lag1,life_expectancy_lag1,population_growth_lag1,unemployment_lag2,inflation_lag2,gdp_growth_lag2,life_expectancy_lag2,population_growth_lag2,unemployment_change_1y,inflation_change_1y,gdp_growth_change_1y,life_expectancy_change_1y,population_growth_change_1y,unemployment_trend_3y,inflation_trend_3y,gdp_growth_trend_3y,life_expectancy_trend_3y,population_growth_trend_3y
AFG,10.687166666666668,4.1608434646737145,0.45615586915217515,62.701,2.8782357086026615,10.172333333333333,5.5315846744146,0.3027734558426305,62.302249999999994,3.007894811444705,9.648083333333334,4.570454270405249,2.0196579111323296,61.89266666666666,3.132810005715351,0.5148333333333333,-1.3707412097408866,0.15338241330954464,0.3987499999999997,-0.12965910284204332,0.5195416666666666,-0.20480540286576762,-0.7817510209900771,0.4041666666666668,-0.12728714855634457
AGO,16.067083333333333,17.99717431750687,1.6413069455166276,62.034166666666664,3.475208124685368,16.293666666666667,17.983704829596846,1.8355204007000558,61.4905,3.5424823488442976,16.499583333333334,17.40990202636146,1.92532566265407,60.90683333333333,3.601488359554754,-0.22658333333333328,0.013469487910024855,-0.19421345518342836,0.5436666666666667,-0.06727422415892913,-0.21624999999999991,0.2936361455727042,-0.14200935856872135,0.5636666666666666,-0.0631401174346929
ALB,13.488416666666666,2.4448668755801184,2.881952955872302,78.47941666666667,-1.5431336502150934,13.72275,2.334010688073004,2.7526279283556114,78.37116666666667,-1.4369594183724672,13.997833333333332,2.075835538062521,2.5981574119703255,78.34158333333333,-1.3497348589082605,-0.23433333333333325,0.11085618750711412,0.12932502751669003,0.10825000000000051,-0.10617423184262625,-0.2547083333333333,0.18451566875879877,0.14189777195098796,0.06891666666666711,-0.09669939565341647
ARE,2.44425,1.4933295740794217,3.0335325578032255,81.831,3.2424399991488895,2.480583333333333,1.430882759375475,3.2364730235534025,81.74675,3.1909524981794046,2.474416666666667,1.063112529751923,2.74383683927862,81.86333333333333,2.966758373771682,-0.03633333333333335,0.062446814703946675,-0.20294046575017677,0.08425000000000078,0.05148750096948507,-0.015083333333333357,0.21510852216374923,0.144847859262303,-0.016166666666666312,0.13784081268860374
ARM,16.828083333333336,3.133992985101844,4.775000000083585,74.85813008130083,-0.1769032753658054,17.368,3.6064587603049616,4.475000000006813,74.55406504065041,-0.20952217748744398,17.874,3.5677462848883756,3.6083333333766876,74.42134146341463,-0.2867315567986303,-0.5399166666666667,-0.47246577520311744,0.30000000007677247,0.30406504065040824,0.03261890212163858,-0.5229583333333333,-0.21687664989326594,0.5833333333534488,0.21839430894309153,0.05491414071641246
AUS,5.3020000000000005,2.5715582184018944,2.5999902936117043,82.6869918699187,1.4731793422349584,5.4199166666666665,2.3804607120555397,2.5008997882213997,82.59065040650407,1.386097688243515,5.54375,2.0741474148841887,2.3306499849397353,82.46524390243903,1.4082972675923406,-0.11791666666666668,0.191097506346355,0.09909050539030499,0.09634146341463413,0.08708165399144335,-0.120875,0.2487054017588529,0.1346701543359846,0.11087398373983777,0.032441037321308756
AUT,5.398833333333333,2.8333270566677,1.184588751487237,81.42479674796749,0.7043518912234937,5.346583333333332,2.4560308048948243,1.4940647756777474,81.35731707317073,0.6499865735453682,5.3374999999999995,1.894919509733661,1.2005663287138242,81.29776422764229,0.5903287820807124,0.05225000000000005,0.3772962517728759,-0.3094760241905103,0.06747967479675053,0.05436531767812575,0.030666666666666693,0.4692037734670196,-0.007988788613293515,0.06351626016260008,0.057011554571390705
AZE,5.375,5.932439043478792,1.7041958827602663,72.35641666666668,0.8465854537483573,5.3566666666666665,5.855180946382343,1.4602396459045357,72.03441666666667,0.9451486791264591,5.355,5.178065382404788,1.4664189921661255,71.71641666666666,1.0410053325949618,0.01833333333333332,0.07725809709645004,0.24395623685573078,0.32200000000000034,-0.09856322537810173,0.010000000000000024,0.377186830537002,0.11888844529707043,0.32000000000000023,-0.09720993942330215
BDI,1.2465,9.635483869428745,3.2614121921745625,61.2395,2.85539909201675,1.3040833333333335,8.189707409724695,3.3255504392063355,60.752250000000004,2.9262369368013945,1.3629166666666668,7.164073013745155,3.5568867517894396,60.269416666666665,3.090833643789454,-0.0575833333333333,1.44577645970405,-0.06413824703177341,0.4872500000000001,-0.07083784478464418,-0.058208333333333306,1.2357054278417945,-0.14773727980743834,0.4850416666666666,-0.11771727588635206
BEL,6.84225,2.4392968553817482,1.4901387192945812,81.36747967479675,0.5419234338713075,6.9750000000000005,2.3962194663057477,1.5082248083746503,81.21626016260163,0.5794850299992945,7.2019166666666665,1.7788684225973792,1.4043976022707605,81.08577235772357,0.5882745334684486,-0.13275,0.04307738907600078,-0.018086089080069295,0.15121951219512533,-0.037561596127987075,-0.1798333333333333,0.33021421639218446,0.04287055851191046,0.14085365853658752,-0.02317554979857053
BEN,1.7779999999999998,1.3826095697674896,5.526885942391028,59.581250000000004,2.792110052000669,1.8618333333333332,1.3797377608851613,5.2444672368575125,59.38858333333334,2.830032910767372,1.8080833333333333,1.4511591516793245,4.899560376253151,59.21458333333334,2.8664356078139055,-0.0838333333333333,0.0028718088823282972,0.28241870553351583,0.19266666666666643,-0.03792285876670246,-0.015041666666666639,-0.03427479095591748,0.3136627830689383,0.18333333333333326,-0.037162777906618295
BFA,4.300666666666667,2.1696957185134997,4.8940730067136,59.47233333333333,2.6957427339941566,4.319500000000001,2.337767120169868,5.195930377957406,59.13141666666667,2.752978910745881,4.3109166666666665,1.0832282730854876,5.764226127537161,58.76833333333334,2.8043712441719126,-0.018833333333333355,-0.1680714016563686,-0.3018573712438067,0.34091666666666676,-0.057236176751724134,-0.005125000000000042,0.5432337227140062,-0.43507656041178083,0.35200000000000004,-0.05431425508887789
BGD,4.492999999999999,6.508519157909514,6.442954790654899,71.49366666666667,0.9174754156513464,4.525083333333334,6.634491001030163,6.500393686896431,70.97925,0.8913763440631087,4.423916666666666,6.670301169357679,6.373056971028068,70.45791666666666,0.8790677346283626,-0.03208333333333337,-0.12597184312065002,-0.0574388962415325,0.5144166666666669,0.026099071588237783,0.03454166666666666,-0.08089100572408296,0.0349489098134154,0.5178750000000001,0.019203840511491876
