country_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
DOM,5.212,6.087,6.722,7.351,6.719,7.605,7.284,5.832,5.861,6.356,6.126,7.702,5.504,5.555,5.312
DZA,9.96,9.96,10.97,9.82,10.207,11.206,10.202,12.0,12.112,12.302,14.08,13.656,12.382,11.645,11.655
ECU,4.088,3.458,3.235,3.083,3.48,3.616,4.597,3.836,3.53,3.812,6.116,4.504,3.713,3.51,3.453
EGY,8.757,11.849,12.597,13.154,13.105,13.052,12.45,11.767,9.855,7.851,7.974,7.441,6.546,6.753,6.817
ERI,5.854,5.801,5.692,5.624,5.637,5.751,5.772,5.804,5.756,5.812,6.375,6.489,6.033,5.909,5.947
ESP,19.86,21.39,24.789,26.094,24.441,22.057,19.635,17.224,15.255,14.104,15.532,14.914,13.033,12.179,11.4
EST,16.707,12.328,10.021,8.631,7.352,6.412,6.882,5.807,5.412,4.514,6.956,6.178,5.571,6.378,7.6
ETH,2.295,2.27,2.252,2.251,2.361,2.442,2.556,2.665,2.811,2.928,3.998,3.935,3.386,3.375,3.357
FIN,8.394,7.781,7.689,8.193,8.663,9.376,8.818,8.64,7.361,6.695,7.759,7.617,6.719,7.149,8.4
FJI,4.345,4.406,4.375,4.356,4.323,4.288,4.319,4.418,4.523,4.661,5.054,5.225,5.403,5.316,5.361
FRA,9.279,9.228,9.841,9.913,10.273,10.354,10.057,9.409,9.018,8.415,8.009,7.871,7.303,7.335,7.4
FRO,,,,,,,,,,,,,,,
FSM,,,,,,,,,,,,,,,
GAB,20.39,19.895,19.661,19.736,19.873,19.943,20.117,20.307,20.459,20.371,21.279,21.223,20.319,20.161,20.091
GBR,7.973,8.195,8.279,7.752,6.398,5.552,4.909,4.501,4.145,3.657,4.472,4.864,3.768,4.025,4.361
GEO,20.203,19.632,19.653,19.416,17.439,16.506,16.604,13.939,12.667,11.565,11.734,11.785,11.621,11.549,11.557
GHA,5.384,4.213,3.126,2.173,4.403,6.806,5.256,3.369,3.204,3.067,3.178,3.2,2.87,2.829,2.82
GIB,,,,,,,,,,,,,,,
GIN,5.018,5.024,4.874,4.944,5.044,5.15,4.997,4.86,4.835,5.018,6.007,5.815,5.174,5.141,5.132
GMB,9.673,10.276,10.346,9.454,8.191,7.226,6.244,5.097,4.055,4.481,5.84,6.213,6.067,6.479,6.48
GNB,3.121,3.072,3.135,3.173,3.285,3.168,3.139,3.089,3.127,2.413,2.887,3.016,2.666,2.632,2.647
GNQ,7.847,7.837,7.761,7.675,7.669,7.778,7.798,7.843,7.818,7.917,8.625,8.821,8.334,8.218,8.293
